ID;S1;C1;S2;C2;S3;C3;S4;C4;S5;C5;Label
125;4;11;3;13;1;1;1;13;2;2;1
126;2;12;2;4;3;2;2;7;4;12;1
127;1;2;4;2;4;10;2;11;3;1;1
128;1;4;1;3;1;12;4;8;4;13;0
129;4;11;4;12;3;4;1;9;2;13;0
130;2;10;3;9;4;13;1;12;2;7;0
131;4;11;4;8;3;2;4;10;3;3;0
132;2;10;4;3;4;11;1;4;2;7;0
133;3;10;1;9;4;3;2;4;1;4;1
134;3;12;3;10;4;6;2;6;2;13;1
135;1;11;3;5;2;13;4;12;2;2;0
136;3;6;4;2;3;10;2;7;1;8;0
137;4;12;3;1;2;13;2;6;2;1;1
138;3;12;4;2;4;3;3;13;2;8;0
139;4;12;2;9;2;5;2;12;3;10;1
140;2;5;2;2;2;8;4;6;1;9;0
141;3;2;4;7;4;4;4;5;1;3;0
142;4;1;4;7;3;6;2;3;4;10;0
143;3;10;1;7;4;7;2;6;2;4;1
144;1;11;3;3;4;12;1;4;1;6;0
145;1;2;3;4;1;12;2;8;3;1;0
146;4;5;4;7;3;1;3;9;2;3;0
147;2;13;4;5;2;11;3;9;4;10;0
148;3;7;2;3;3;12;2;10;2;2;0
149;1;13;1;8;4;6;1;11;2;7;0
150;4;12;2;2;4;11;4;3;3;1;0
151;1;13;2;5;4;12;2;12;4;1;1
152;3;7;1;9;2;2;4;6;4;1;0
153;4;8;4;10;4;5;1;11;1;9;0
154;1;8;4;7;4;13;2;6;3;6;1
155;4;5;2;4;3;9;1;10;2;13;0
156;4;3;2;2;4;10;1;4;4;11;0
157;3;8;1;8;2;5;3;3;3;1;1
158;3;7;2;5;1;11;3;4;3;5;1
159;2;4;1;4;1;7;4;8;1;5;1
160;2;10;3;10;2;13;2;6;1;6;2
161;4;9;3;11;3;8;1;4;3;13;0
162;4;7;2;12;3;3;1;8;1;7;1
163;1;5;1;1;3;3;2;12;3;11;0
164;1;4;1;6;4;13;2;13;4;3;1
165;4;3;2;13;2;4;3;7;1;2;0
166;2;7;4;10;1;10;1;2;4;5;1
167;2;9;2;4;1;10;3;7;2;7;1
168;3;3;3;8;4;8;1;1;1;11;1
169;4;7;4;11;3;5;3;12;1;3;0
170;1;1;4;8;2;4;3;10;4;5;0
171;2;12;4;2;1;5;3;10;1;10;1
172;4;2;4;8;4;7;1;3;4;6;0
173;2;4;1;8;1;12;1;9;4;10;0
174;2;3;1;6;2;12;3;6;4;5;1
175;3;1;3;9;4;13;1;5;3;7;0
176;2;6;4;4;1;13;4;6;4;5;1
177;4;3;4;10;2;8;1;7;3;10;1
178;3;10;2;9;1;1;2;11;2;8;0
179;4;6;3;3;3;7;2;4;2;2;0
180;2;1;2;7;1;12;4;8;1;5;0
181;4;5;1;11;3;10;1;1;3;1;1
182;4;1;4;11;3;10;2;9;3;2;0
183;3;11;2;7;2;12;2;5;1;7;1
184;3;1;4;6;4;13;4;11;4;12;0
185;1;1;2;3;3;2;4;10;1;9;0
186;1;13;3;1;2;10;2;6;1;12;0
187;2;10;3;1;3;9;2;9;3;5;1
188;2;13;1;1;2;12;1;7;2;7;1
189;3;5;1;8;4;11;4;6;2;3;0
190;3;10;2;3;2;1;4;7;4;10;1
191;4;11;2;13;2;8;2;1;4;12;0
192;2;5;1;2;3;4;4;8;3;9;0
193;1;12;3;3;2;2;2;4;2;8;0
194;4;6;2;10;2;12;3;5;1;11;0
195;3;1;2;11;4;11;1;13;2;2;1
196;2;4;2;7;4;4;2;6;2;8;1
197;1;3;4;3;4;4;3;1;4;13;1
198;3;3;1;1;4;3;2;13;4;8;1
199;4;7;1;3;4;4;4;1;3;11;0
200;4;2;2;3;3;8;4;7;2;13;0
201;4;5;2;5;2;1;4;8;1;13;1
202;4;9;3;13;4;10;2;2;1;7;0
203;2;12;2;9;4;1;4;2;1;11;0
204;1;10;3;9;3;10;1;8;4;13;1
205;4;2;4;4;1;5;4;10;3;3;0
206;1;3;4;10;4;8;4;4;4;13;0
207;3;12;2;2;4;11;3;8;2;1;0
208;1;6;2;1;1;8;3;9;1;5;0
209;2;1;2;9;3;9;3;13;2;8;1
210;4;10;1;11;3;12;4;5;3;6;0
211;3;10;1;12;1;7;3;13;2;12;1
212;3;10;2;7;4;2;3;12;2;2;1
213;2;7;4;9;1;5;3;9;3;6;1
214;2;4;2;2;2;5;4;1;4;4;1
215;3;1;2;3;4;12;3;13;3;8;0
216;1;12;2;8;2;2;1;1;3;8;1
217;2;12;4;5;3;10;2;13;4;8;0
218;1;1;1;13;4;11;3;13;4;4;1
219;4;2;1;13;2;6;2;7;2;11;0
220;3;8;1;3;4;10;3;12;2;1;0
221;3;2;3;11;1;12;1;13;3;9;0
222;3;13;1;2;3;2;1;9;3;11;1
223;1;12;2;10;1;4;1;3;1;6;0
224;2;11;2;6;4;8;4;7;2;12;0
225;3;6;2;11;3;2;3;10;1;11;1
226;1;8;2;9;2;10;4;13;3;1;0
227;4;8;2;11;2;12;3;3;4;11;1
228;3;13;1;3;2;7;1;8;4;8;1
229;1;11;1;1;3;10;4;9;3;6;0
230;2;13;2;11;2;6;4;9;3;4;0
231;1;11;1;8;3;3;2;7;1;12;0
232;1;7;3;1;1;5;1;1;2;3;1
233;3;12;2;7;4;4;1;2;2;10;0
234;4;10;1;4;4;2;2;11;1;1;0
235;1;4;1;12;1;2;4;9;2;12;1
236;4;10;3;9;3;12;2;2;1;11;0
237;4;11;1;1;2;1;1;3;3;5;1
238;3;7;4;3;4;8;3;10;4;2;0
239;3;1;3;10;1;4;2;10;2;3;1
240;3;13;2;4;2;9;2;3;3;3;1
241;3;11;2;10;3;12;1;3;1;10;1
242;1;2;4;12;3;6;2;5;4;4;0
243;4;2;3;4;4;9;2;1;2;6;0
244;2;7;2;3;3;13;1;5;4;5;1
245;2;9;4;8;2;8;2;3;2;7;1
246;4;6;4;12;1;2;1;8;2;7;0
247;3;8;1;13;1;7;4;7;3;13;2
248;3;9;1;13;4;8;4;9;1;6;1
249;1;11;1;10;4;10;3;13;1;13;2
250;1;11;1;10;3;3;4;6;3;4;0
251;3;9;3;1;1;10;4;5;3;4;0
252;4;12;3;1;2;1;1;11;4;11;2
253;4;2;1;8;2;6;2;10;3;8;1
254;4;7;3;7;4;9;4;3;4;10;1
255;1;12;4;4;2;9;3;6;3;1;0
256;3;7;2;7;3;4;3;6;1;3;1
257;4;6;2;9;4;7;1;8;3;8;1
258;4;12;1;3;3;3;4;7;3;10;1
259;1;11;2;6;2;3;4;12;4;11;1
260;3;8;3;6;2;11;3;5;2;4;0
261;3;4;2;11;1;9;2;1;3;8;0
262;2;5;1;4;4;2;4;10;1;6;0
263;4;3;3;5;2;12;1;2;4;4;0
264;3;6;2;13;3;9;1;13;1;10;1
265;2;11;3;6;4;7;3;2;3;11;1
266;1;1;2;5;3;10;1;4;1;6;0
267;3;10;1;8;1;6;4;1;2;2;0
268;1;6;1;4;1;1;4;11;2;13;0
269;2;9;2;4;1;13;1;3;3;2;0
270;3;1;2;9;2;8;2;6;1;1;1
271;4;6;1;9;3;8;4;1;4;11;0
272;3;7;1;4;2;2;3;2;2;12;1
273;2;7;2;13;3;10;1;9;1;10;1
274;4;9;2;2;1;11;2;12;3;11;1
275;2;3;3;4;2;8;4;4;3;12;1
276;2;8;1;6;2;6;2;7;3;13;1
277;1;1;1;12;4;3;4;6;3;1;1
278;2;12;4;11;2;3;3;1;3;13;0
279;4;10;1;5;3;7;4;9;1;9;1
280;4;9;2;13;1;3;2;6;3;5;0
281;1;5;4;3;4;12;3;5;2;13;1
282;4;9;1;12;4;1;1;4;3;1;1
283;1;8;2;8;1;7;1;12;2;4;1
284;4;5;3;2;2;7;1;9;4;12;0
285;1;8;2;2;2;3;4;2;2;7;1
286;1;3;2;13;3;4;4;5;1;5;1
287;4;4;2;3;3;12;1;10;3;10;1
288;4;4;2;8;4;12;1;4;3;2;1
289;3;13;2;2;4;13;4;6;3;2;2
290;4;10;4;3;4;6;4;1;2;13;0
291;3;10;3;7;1;8;3;5;2;11;0
292;4;8;3;5;4;6;4;2;4;7;0
293;4;12;4;7;2;4;3;13;3;11;0
294;1;9;4;8;1;3;3;13;1;12;0
295;4;6;1;7;4;9;2;10;4;11;0
296;2;7;1;4;1;12;1;13;4;4;1
297;4;10;2;9;2;4;4;13;3;9;1
298;2;10;4;1;1;2;4;12;4;4;0
299;1;2;2;10;4;1;2;2;4;5;1
300;2;8;4;11;2;5;4;5;4;2;1
301;1;13;3;12;2;12;1;9;4;12;3
302;1;6;4;5;3;8;2;13;4;2;0
303;3;2;3;11;1;1;4;7;4;2;1
304;2;7;1;1;2;6;3;10;4;8;0
305;3;7;4;2;4;8;1;13;1;1;0
306;4;7;2;13;4;2;3;12;4;5;0
307;3;4;1;13;3;8;3;5;1;3;0
308;2;12;4;4;4;6;1;12;1;9;1
309;4;1;1;13;1;7;3;13;3;11;1
310;1;10;2;10;4;2;2;6;4;4;1
311;4;12;2;4;1;11;4;13;4;6;0
312;1;11;3;9;2;3;4;6;4;1;0
313;1;5;1;7;4;7;1;13;3;11;1
314;3;10;1;2;4;12;4;6;3;5;0
315;3;2;1;4;3;12;1;10;3;8;0
316;2;3;1;13;1;4;2;13;4;8;1
317;1;1;1;13;4;1;2;6;4;10;1
318;1;6;1;13;3;11;3;6;1;2;1
319;3;8;1;12;2;9;1;2;2;5;0
320;1;11;1;13;4;9;1;7;3;13;1
321;1;6;4;2;4;9;1;7;2;5;0
322;1;1;4;10;4;6;2;3;3;4;0
323;4;7;4;12;2;3;4;5;2;6;0
324;1;6;3;1;1;11;1;2;4;5;0
325;4;3;2;12;4;12;1;13;3;10;1
326;4;10;2;4;2;5;1;3;4;13;0
327;2;7;1;3;1;1;1;7;2;3;2
328;3;12;3;2;1;5;2;1;1;8;0
329;1;8;1;12;2;10;1;2;3;7;0
330;4;12;2;11;4;11;1;9;3;11;3
331;1;4;2;6;1;13;4;10;1;7;0
332;1;7;2;13;2;12;1;1;2;9;0
333;1;3;3;5;1;1;2;4;3;8;0
334;4;1;2;5;4;12;2;6;3;9;0
335;1;5;4;9;3;3;4;7;3;8;0
336;3;9;1;12;3;7;4;12;2;9;2
337;4;2;3;4;1;1;3;10;4;8;0
338;3;7;3;12;1;12;4;3;4;4;1
339;2;3;4;7;1;7;1;13;3;7;3
340;1;3;2;13;2;5;3;10;3;7;0
341;4;4;4;9;1;7;1;9;4;5;1
342;4;9;4;7;1;9;3;7;4;5;2
343;1;4;1;7;3;7;1;3;1;13;1
344;4;9;4;4;3;7;3;8;1;6;0
345;1;11;2;9;4;10;4;5;1;9;1
346;2;11;1;2;1;3;3;11;4;4;1
347;2;12;1;2;4;12;4;8;2;11;1
348;1;2;4;6;4;13;1;13;2;13;3
349;2;1;3;6;2;2;4;4;3;1;1
350;4;4;4;6;3;12;1;8;1;3;0
351;1;9;2;13;4;5;1;11;2;9;1
352;1;5;1;11;3;6;2;8;1;7;0
353;4;5;3;4;4;7;2;2;4;9;0
354;3;7;2;9;4;4;4;11;1;13;0
355;3;4;1;10;3;6;3;9;2;3;0
356;2;13;4;8;4;13;4;6;3;2;1
357;4;10;3;12;3;7;1;12;2;5;1
358;2;13;4;12;4;13;1;7;4;8;1
359;1;3;2;6;1;6;2;13;3;11;1
360;1;7;4;1;4;11;3;3;4;12;0
361;1;5;2;1;3;5;3;2;1;6;1
362;3;13;1;13;2;1;3;8;1;4;1
363;1;4;2;9;2;5;3;5;4;7;1
364;2;7;4;7;1;4;3;11;3;9;1
365;1;2;3;9;4;2;4;9;1;8;2
366;3;9;3;2;4;6;3;10;3;7;0
367;4;3;1;4;3;8;4;7;3;9;0
368;2;9;2;5;3;4;2;10;2;7;0
369;1;12;4;12;4;8;4;11;2;12;3
370;2;1;4;6;1;4;1;9;1;1;1
371;2;10;4;6;4;11;4;5;2;12;0
372;1;8;1;11;4;2;4;7;3;1;0
373;4;5;2;11;2;2;4;9;3;7;0
374;2;12;1;7;2;9;4;8;3;7;1
375;2;9;2;2;3;7;4;13;3;11;0
376;3;6;3;8;2;12;4;8;3;11;1
377;2;9;4;8;4;2;4;9;4;11;1
378;3;4;2;10;3;3;4;13;4;4;1
379;4;5;4;2;2;10;4;11;2;11;1
380;2;7;3;3;4;3;4;10;3;12;1
381;2;4;2;7;1;7;3;4;2;5;2
382;4;7;3;2;2;3;4;13;4;2;1
383;3;4;3;13;2;8;3;9;1;9;1
384;4;8;1;9;3;8;1;8;4;3;3
385;4;3;2;1;2;10;1;2;4;4;0
386;3;7;1;4;3;3;2;8;1;1;0
387;4;7;1;13;2;3;1;9;4;1;0
388;4;9;2;7;3;13;2;1;3;12;0
389;4;4;3;7;4;1;4;3;2;9;0
390;3;8;4;2;2;13;3;13;4;11;1
391;2;12;3;11;2;9;4;8;2;7;0
392;1;11;1;7;4;9;1;5;3;10;0
393;4;1;3;9;3;2;2;11;2;9;1
394;2;4;3;12;2;1;2;7;1;7;1
395;3;3;1;13;2;9;2;8;3;8;1
396;4;1;2;6;3;8;3;2;1;6;1
397;4;5;1;8;2;12;1;12;1;13;1
398;4;11;2;2;4;10;3;12;1;7;0
399;4;4;1;7;3;13;3;12;2;2;0
400;3;8;2;12;4;11;4;1;3;9;0
401;2;7;4;12;4;2;3;13;1;5;0
402;2;5;3;5;3;2;2;13;4;4;1
403;1;11;3;12;3;10;4;9;2;13;4
404;2;13;1;3;1;7;2;9;3;7;1
405;1;1;3;2;4;6;2;11;4;12;0
406;3;5;1;12;3;3;1;7;1;9;0
407;4;9;2;4;1;3;3;7;1;12;0
408;4;11;1;12;3;7;2;4;2;1;0
409;4;2;3;11;2;4;4;13;2;13;1
410;4;1;2;1;4;3;2;4;2;8;1
411;4;4;1;5;2;3;1;11;4;13;0
412;2;5;3;5;4;12;2;2;3;12;2
413;1;8;4;10;2;11;3;4;3;3;0
414;4;6;4;3;1;5;1;11;2;8;0
415;4;6;1;11;3;5;2;5;1;10;1
416;2;2;3;5;1;6;3;10;3;3;0
417;4;10;2;1;2;11;1;2;4;13;0
418;1;11;2;10;3;9;2;2;1;6;0
419;1;10;2;3;2;4;1;8;4;11;0
420;4;11;3;4;4;2;2;4;1;6;1
421;2;9;3;4;2;11;4;4;4;9;2
422;1;4;4;9;3;2;1;12;2;6;0
423;4;9;2;8;2;6;3;6;4;11;1
424;3;12;3;1;2;11;3;2;2;5;0
425;2;1;3;5;2;7;1;4;2;10;0
426;3;7;2;2;1;7;2;7;1;2;6
427;2;5;3;8;2;4;1;5;3;11;1
428;3;8;1;11;3;12;2;5;2;9;0
429;3;12;3;9;3;2;1;3;3;6;0
430;3;9;3;13;1;5;2;8;4;8;1
431;1;1;3;11;2;4;2;8;1;8;1
432;3;3;2;5;1;2;3;6;4;10;0
433;3;9;3;1;1;8;4;9;2;10;1
434;4;1;2;5;2;12;3;2;2;10;0
435;1;7;1;11;2;13;2;3;2;5;0
436;2;10;1;11;1;7;1;2;3;11;1
437;1;4;1;11;4;6;4;10;3;10;1
438;4;8;2;13;4;4;4;12;1;1;0
439;2;2;2;6;4;1;3;9;4;8;0
440;4;5;2;1;2;3;3;6;1;10;0
441;2;7;4;8;3;11;4;5;4;7;1
442;1;11;2;3;3;7;1;12;1;4;0
443;4;7;4;1;1;5;1;2;2;3;0
444;3;5;1;13;4;11;2;2;3;11;1
445;1;10;1;4;1;3;3;3;3;1;1
446;1;13;2;12;4;13;2;4;2;2;1
447;4;3;4;6;4;5;1;3;2;3;3
448;4;12;2;6;2;10;4;3;4;2;0
449;1;10;1;1;1;3;2;2;1;2;1
450;4;13;4;6;1;13;2;2;3;13;3
451;1;6;3;6;4;12;3;8;4;8;2
452;4;1;1;10;2;9;3;2;3;7;0
453;1;11;2;3;3;9;3;10;3;5;0
454;2;6;4;8;4;5;2;7;4;3;0
455;2;13;2;8;1;13;4;3;1;3;2
456;3;9;2;10;3;3;2;8;4;1;0
457;3;9;4;11;2;5;3;5;1;13;1
458;1;2;1;7;3;2;4;1;4;5;1
459;3;2;3;4;2;12;3;12;1;6;1
460;1;1;3;11;3;6;2;2;2;7;0
461;2;8;1;10;2;2;4;9;1;5;0
462;3;13;2;2;1;11;4;12;1;5;0
463;1;3;1;1;4;6;3;2;1;12;0
464;2;12;1;5;2;13;1;11;2;9;0
465;3;4;2;10;3;13;2;6;4;7;0
466;4;7;2;9;2;7;4;6;1;4;1
467;4;13;1;7;4;11;1;11;2;4;1
468;1;2;4;6;3;4;4;8;4;1;0
469;2;2;4;9;1;6;1;8;3;13;0
470;4;11;3;3;3;6;2;11;1;6;2
471;4;13;1;9;3;7;3;11;1;7;1
472;2;1;4;12;1;4;1;7;3;3;0
473;2;3;2;6;2;9;2;7;3;9;1
474;2;11;1;4;3;7;2;1;2;9;0
475;3;13;4;8;1;2;1;11;2;4;0
476;2;9;4;5;1;3;1;11;1;6;0
477;3;1;1;1;3;6;4;1;2;7;3
478;2;9;3;3;1;4;3;1;2;8;0
479;4;12;1;12;3;12;2;13;3;4;3
480;4;10;4;12;2;9;2;4;3;8;0
481;3;3;3;13;3;2;3;11;4;12;0
482;1;3;3;3;1;13;1;6;1;4;1
483;3;6;3;5;1;13;1;6;2;10;1
484;1;13;4;6;4;2;3;2;2;2;3
485;1;11;4;11;1;5;3;1;2;9;1
486;4;13;2;12;2;9;3;6;3;3;0
487;1;5;2;5;3;2;3;1;4;3;1
488;1;4;4;4;2;12;1;3;1;10;1
489;1;5;3;9;1;6;3;3;4;7;0
490;2;2;1;8;4;6;3;4;2;12;0
491;3;1;1;5;4;5;3;9;4;4;1
492;2;13;1;9;3;8;4;1;1;1;1
493;1;9;1;8;3;10;4;10;2;10;3
494;1;2;3;10;2;11;2;6;2;8;0
495;2;6;4;11;4;6;4;5;3;10;1
496;4;10;2;13;2;2;3;10;4;13;2
497;3;6;2;12;3;3;2;3;1;9;1
498;2;10;4;5;2;13;2;2;3;13;1
499;4;7;3;3;2;5;2;8;3;10;0
500;4;10;1;9;1;4;2;4;1;2;1
501;2;9;3;7;1;13;2;13;1;2;1
502;1;10;2;6;2;12;2;5;4;3;0
503;2;3;1;11;3;4;2;2;3;8;0
504;2;8;1;4;4;13;1;3;4;12;0
505;3;10;4;10;1;5;3;4;4;5;2
506;2;12;4;12;4;11;1;4;3;13;1
507;2;10;3;6;4;4;4;8;4;1;0
508;4;3;3;9;2;12;3;5;2;9;1
509;3;7;2;6;3;1;1;11;3;5;0
510;3;10;2;9;2;13;2;6;1;3;0
511;3;10;3;5;3;13;2;3;2;9;0
512;1;13;2;10;2;6;3;13;4;6;2
513;1;3;3;9;3;12;3;6;2;9;1
514;4;4;2;4;1;4;3;1;1;1;6
515;4;8;4;10;3;5;2;12;1;5;1
516;4;6;2;3;4;13;2;10;2;7;0
517;4;12;1;10;1;13;1;4;2;6;0
518;2;6;3;11;2;7;4;4;1;2;0
519;2;6;2;12;3;4;3;13;2;11;0
520;1;11;1;9;4;11;2;13;3;10;1
521;3;10;2;12;2;10;3;2;3;4;1
522;3;5;1;7;1;9;4;12;4;4;0
523;4;10;3;1;4;2;4;7;2;8;0
524;2;7;4;11;4;12;2;12;2;11;2
525;4;5;2;3;3;4;4;10;2;12;0
526;2;3;4;8;1;6;4;12;3;13;0
527;1;11;1;7;4;10;4;12;2;1;0
528;3;4;4;4;4;10;4;13;2;2;1
529;2;2;2;1;4;12;4;13;3;13;1
530;3;3;2;7;3;5;3;6;2;8;0
531;1;8;3;9;2;6;4;11;2;9;1
532;2;13;2;8;1;8;4;10;4;1;1
533;4;3;3;3;3;8;1;5;2;13;1
534;4;12;1;1;1;3;3;11;3;13;0
535;2;3;3;6;2;13;4;3;2;5;1
536;3;4;4;7;2;12;2;7;4;10;1
537;3;12;2;7;4;6;3;11;1;9;0
538;3;7;1;7;3;5;2;4;2;13;1
539;2;2;2;3;3;8;3;7;2;4;0
540;2;6;1;10;2;10;2;4;3;3;1
541;3;7;1;6;4;13;3;2;2;8;0
542;2;1;3;12;3;8;1;8;4;10;1
543;1;5;4;4;2;11;1;1;3;2;0
544;1;7;1;13;4;8;2;3;4;1;0
545;3;13;4;7;2;10;2;6;3;2;0
546;1;7;4;11;4;10;2;2;3;3;0
547;2;13;2;3;4;13;1;3;2;1;2
548;4;3;2;4;4;13;2;11;2;2;0
549;3;7;4;11;2;5;4;4;2;3;0
550;4;4;4;7;4;12;2;9;1;10;0
551;3;12;3;11;4;4;2;3;3;13;0
552;2;12;3;3;1;7;3;6;4;12;1
553;3;8;1;8;3;6;2;6;1;13;2
554;3;1;3;5;1;7;1;8;3;10;0
555;4;1;2;1;2;7;3;6;2;8;1
556;3;7;2;10;3;10;2;8;1;3;1
557;4;1;4;10;3;3;2;5;1;7;0
558;1;9;1;12;3;5;4;1;3;6;0
559;3;4;3;13;3;8;2;3;3;3;1
560;1;12;4;5;2;3;3;13;3;2;0
561;1;10;2;7;3;4;4;9;3;1;0
562;4;4;3;7;1;7;2;12;4;11;1
563;2;9;3;13;1;10;2;7;1;13;1
564;3;11;4;5;2;1;3;9;2;10;0
565;2;2;2;11;2;13;3;11;1;10;1
566;3;4;1;3;1;11;2;3;1;8;1
567;4;2;1;4;2;9;3;5;3;4;1
568;2;1;1;9;2;10;4;6;2;6;1
569;3;6;2;6;4;10;1;7;3;13;1
570;3;12;2;8;4;11;3;6;4;3;0
571;4;4;2;8;2;2;2;10;1;9;0
572;2;9;3;13;4;6;2;13;1;8;1
573;1;7;3;11;1;1;1;4;2;3;0
574;2;1;2;7;1;2;3;2;1;8;1
575;1;3;2;12;3;1;1;2;4;4;0
576;4;12;2;12;1;4;1;3;2;11;1
577;3;11;2;8;1;2;3;1;4;11;1
578;2;1;4;7;3;9;1;11;2;13;0
579;1;7;3;9;4;10;2;13;1;4;0
580;4;7;3;10;3;11;1;11;3;3;1
