S1;C1;S2;C2;S3;C3;S4;C4;S5;C5;Label
1~2;1~6;3~4;7~13;1;8~13;1;1~13;1~4;1~13;1
1~2;1~6;3~4;7~13;1;8~13;1;1~13;1~4;1~13;1
1~2;1~6;3~4;7~13;1;8~13;1;1~13;1~4;1~13;1
1~2;1~6;3~4;7~13;1;8~13;1;1~13;1~4;1~13;1
1~2;1~6;3~4;7~13;1;8~13;1;1~13;1~4;1~13;1
1~2;1~6;3~4;7~13;1;8~13;1;1~13;1~4;1~13;1
1~2;1~6;3~4;7~13;1;8~13;1;1~13;1~4;1~13;1
1~2;1~6;3~4;7~13;1;8~13;1;1~13;1~4;1~13;1
1~2;1~6;3~4;7~13;1;8~13;1;1~13;1~4;1~13;1
1~2;1~6;3~4;7~13;1;8~13;1;1~13;1~4;1~13;1
1~2;1~6;3~4;7~13;1;8~13;1;1~13;1~4;1~13;1
1~2;1~6;3~4;7~13;1;8~13;1;1~13;1~4;1~13;2
1~2;1~6;3~4;7~13;1;8~13;1;1~13;1~4;1~13;2
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;0
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;1
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;1
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;1
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;1
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;1
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;1
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;1
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;1
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;1
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;1
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;1
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;1
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;1
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;3
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;3
1~2;7~13;3~4;7~13;1;1~5;1;1~13;1~4;1~13;3
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;0
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;0
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;0
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;0
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;0
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;0
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;0
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;0
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;0
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;0
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;0
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;0
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;0
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;0
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;0
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;0
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;0
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;0
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;0
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;1
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;1
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;1
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;1
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;1
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;1
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;1
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;1
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;1
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;1
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;1
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;1
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;1
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;1
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;1
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;2
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;2
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;2
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;3
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;4
3~4;1~6;1;1~6;3~4;1~7;1;1~13;1~4;1~13;4
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;0
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;1
3~4;1~6;1;7~13;3~4;1~7;1~2;1~13;1~4;1~13;2
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;0
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;1
3~4;7~13;1;1~6;3~4;6~13;1;1~13;1~4;1~13;2
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;1~7;1~4;1~13;8
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;0
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;1
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;2
1~2;1~6;1~2;1~6;1~2;1~6;1;8~13;1~4;1~13;5
